date,home_away,opponent,win_loss,team_pts,opponent_pts
4/10/19,@,MEM,L,117,132
4/9/19,@,NOP,W,112,103
4/7/19,vs.,LAC,W,131,104
4/5/19,vs.,CLE,W,120,114
4/4/19,@,LAL,W,108,90
4/2/19,vs.,DEN,W,116,102
3/31/19,vs.,CHA,W,137,90
3/29/19,@,MIN,L,130,131
3/27/19,@,MEM,W,118,103
3/24/19,vs.,DET,W,121,114
3/23/19,vs.,DAL,L,91,126
3/21/19,vs.,IND,W,112,89
3/19/19,@,MIN,W,117,107
3/18/19,@,SAS,L,105,111
3/16/19,@,OKC,W,110,88
3/13/19,@,HOU,W,106,104
3/10/19,vs.,PHX,L,111,115
3/8/19,vs.,DEN,W,122,105
3/5/19,vs.,BOS,L,95,128
3/2/19,@,PHI,W,120,117
2/28/19,@,ORL,L,96,103
2/27/19,@,MIA,L,125,126
2/25/19,@,CHA,W,121,110
2/23/19,vs.,HOU,L,112,118
2/21/19,vs.,SAC,W,125,123
2/13/19,@,POR,L,107,129
2/12/19,vs.,UTA,W,115,108
2/10/19,vs.,MIA,W,120,118
2/8/19,@,PHX,W,117,107
2/6/19,vs.,SAS,W,141,102
2/2/19,vs.,LAL,W,115,101
1/31/19,vs.,PHI,L,104,113
1/28/19,@,IND,W,132,100
1/26/19,@,BOS,W,115,111
1/24/19,@,WAS,W,126,118
1/21/19,@,LAL,W,130,111
1/18/19,@,LAC,W,112,94
1/16/19,vs.,NOP,W,147,140
1/15/19,@,DEN,W,142,111
1/13/19,@,DAL,W,119,114
1/11/19,vs.,CHI,W,146,109
1/8/19,vs.,NYK,W,122,95
1/5/19,@,SAC,W,127,123
1/3/19,vs.,HOU,L,134,135
12/31/18,@,PHX,W,132,109
12/29/18,@,POR,W,115,105
12/27/18,vs.,POR,L,109,110
12/25/18,vs.,LAL,L,101,127
12/23/18,vs.,LAC,W,129,127
12/22/18,vs.,DAL,W,120,116
12/19/18,@,UTA,L,103,108
12/17/18,vs.,MEM,W,110,93
12/14/18,@,SAC,W,130,125
12/12/18,vs.,TOR,L,93,113
12/10/18,vs.,MIN,W,116,108
12/7/18,@,MIL,W,105,95
12/5/18,@,CLE,W,129,105
12/3/18,@,ATL,W,128,111
12/1/18,@,DET,L,102,111
11/29/18,@,TOR,L,128,131
11/26/18,vs.,ORL,W,116,110
11/24/18,vs.,SAC,W,117,116
11/23/18,vs.,POR,W,125,97
11/21/18,vs.,OKC,L,95,123
11/18/18,@,SAS,L,92,104
11/17/18,@,DAL,L,109,112
11/15/18,@,HOU,L,86,107
11/13/18,vs.,ATL,W,110,103
11/12/18,@,LAC,L,116,121
11/10/18,vs.,BKN,W,116,100
11/8/18,vs.,MIL,L,111,134
11/5/18,vs.,MEM,W,117,101
11/2/18,vs.,MIN,W,116,99
10/31/18,vs.,NOP,W,131,121
10/29/18,@,CHI,W,149,124
10/28/18,@,BKN,W,120,114
10/26/18,@,NYK,W,128,100
10/24/18,vs.,WAS,W,144,122
10/22/18,vs.,PHX,W,123,103
10/21/18,@,DEN,L,98,100
10/19/18,@,UTA,W,124,123
10/16/18,vs.,OKC,W,108,100